scenario,A,B,C,D,J1,J2,J3,status,evacuation_time,remaining_agents,cyclic,trapped_agents,trapped_rooms,cycles
C_extreme,19,20,42,19,A,J3,J1,PASS,81.45,0,False,0,,
C_extreme,19,20,42,19,J3,C,J2,PASS,81.66,0,False,0,,
C_extreme,19,20,42,19,A,J3,B,PASS,93.36,0,False,0,,
C_extreme,19,20,42,19,C,J3,B,PASS,93.36,0,False,0,,
C_extreme,19,20,42,19,J2,C,B,PASS,100.27,0,False,0,,
C_extreme,19,20,42,19,J2,C,A,PASS,100.27,0,False,0,,
C_extreme,19,20,42,19,J3,J1,B,PASS,105.83,0,False,0,,
C_extreme,19,20,42,19,J2,J3,B,PASS,109.0,0,False,0,,
C_extreme,19,20,42,19,J3,J3,B,PASS,110.60000000000001,0,False,0,,
C_extreme,19,20,42,19,J2,C,J2,PASS,139.66,0,False,0,,
C_extreme,19,20,42,19,J2,C,J1,PASS,174.59,0,False,0,,
C_extreme,19,20,42,19,J3,J1,A,TIMEOUT,180.0,2,False,0,,
C_extreme,19,20,42,19,J3,J3,A,TIMEOUT,180.0,2,False,0,,
C_extreme,19,20,42,19,C,J1,J2,TIMEOUT,180.0,4,False,0,,
C_extreme,19,20,42,19,A,J1,J2,TIMEOUT,180.0,10,False,0,,
C_extreme,19,20,42,19,J3,C,J1,CYCLIC,,39,True,39,"A,B","(('J1', 'J3'),)"
C_extreme,19,20,42,19,J2,J1,B,CYCLIC,,61,True,61,"A,C","(('J1', 'J2'),)"
C_extreme,19,20,42,19,J2,J1,A,CYCLIC,,61,True,61,"A,C","(('J1', 'J2'),)"
C_extreme,19,20,42,19,A,J3,J2,CYCLIC,,62,True,62,"B,C","(('J2', 'J3'),)"
C_extreme,19,20,42,19,C,J3,J2,CYCLIC,,62,True,62,"B,C","(('J2', 'J3'),)"
C_extreme,19,20,42,19,J2,J1,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2'),)"
C_extreme,19,20,42,19,J2,J1,J2,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2'),)"
C_extreme,19,20,42,19,J2,J3,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2', 'J3'),)"
C_extreme,19,20,42,19,J2,J3,J2,CYCLIC,,81,True,81,"A,B,C","(('J2', 'J3'),)"
C_extreme,19,20,42,19,J3,J1,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J3'),)"
C_extreme,19,20,42,19,J3,J1,J2,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2', 'J3'),)"
C_extreme,19,20,42,19,J3,J3,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J3'),)"
C_extreme,19,20,42,19,J3,J3,J2,CYCLIC,,81,True,81,"A,B,C","(('J2', 'J3'),)"
D_extreme,22,21,21,36,C,C,A,PASS,41.5,0,False,0,,
D_extreme,22,21,21,36,A,C,A,PASS,41.61,0,False,0,,
D_extreme,22,21,21,36,C,J3,A,PASS,44.730000000000004,0,False,0,,
D_extreme,22,21,21,36,A,C,J1,PASS,45.78,0,False,0,,
