action,policy,population,elapsed_time,remaining_agents,episode_reward,discounted_return,steps
20,CJ3J1,B_extreme,68.88,0,-0.5690555555555555,-0.5383157976928034,14
20,CJ3J1,C_extreme,73.22,0,-0.5995555555555555,-0.5650579506372746,15
20,CJ3J1,D_extreme,59.300000000000004,0,-0.46972222222222226,-0.4480567180073403,12
21,CJ3A,balanced,49.61,0,-0.39394444444444443,-0.37921000231927693,10
21,CJ3A,A_extreme,49.800000000000004,0,-0.4122222222222222,-0.3966486410002718,10
21,CJ3A,B_extreme,60.34,0,-0.4810555555555555,-0.45865089110426577,13
21,CJ3A,C_extreme,58.59,0,-0.4674444444444445,-0.4463531535347155,12
21,CJ3A,D_extreme,45.72,0,-0.3567777777777778,-0.3445813203837862,10
22,J2CB,balanced,87.02,0,-0.700388888888889,-0.6521832609842864,18
22,J2CB,A_extreme,159.04,0,-1.2779999999999998,-1.1154015886301414,32
22,J2CB,B_extreme,104.89,0,-0.8707777777777778,-0.7977888846955917,21
22,J2CB,C_extreme,103.34,0,-0.8366111111111111,-0.7679335671323173,21
22,J2CB,D_extreme,79.7,0,-0.6152777777777777,-0.5765198613713053,16
23,J2CJ1,balanced,152.32,0,-1.2367777777777778,-1.084687401683807,31
23,J2CJ1,A_extreme,180.0,23,-1.5830555555555559,-1.349322254024243,36
23,J2CJ1,B_extreme,180.0,11,-1.5138888888888888,-1.2934496781100988,36
23,J2CJ1,C_extreme,180.0,13,-1.5386111111111112,-1.3135188614676516,36
23,J2CJ1,D_extreme,125.0,0,-0.9708333333333333,-0.8724914894517677,25
24,J2CJ2,balanced,141.43,0,-1.1351666666666664,-1.0059613134563365,29
24,J2CJ2,A_extreme,175.24,0,-1.450222222222222,-1.251087441537485,36
24,J2CJ2,B_extreme,180.0,2,-1.335,-1.1518388866412264,36
24,J2CJ2,C_extreme,131.95,0,-1.079444444444444,-0.9655222290324609,27
24,J2CJ2,D_extreme,111.54,0,-0.8652222222222223,-0.7870619663982968,23
25,J2CA,balanced,87.02,0,-0.6592777777777779,-0.613663034069418,18
